hh_inc_rent_med_adj,"Median household income, renters (2018$)",Borough,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Manhattan,Lower East Side/Chinatown,34780,42850.172,36636.5918,36820.17442,41506.31058,41340.8494,39463.52193,40454.42468,35238.47182,36083.42972,38147.88141,38526.79088,36545.93156,41046
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Staten Island,Mid-Island,39550,44020.61651,46906.26836,47286.17496,37224.18856,36768.12361,51298.71224,41403.43856,41652.44051,42401.05308,40340.72296,37257.11077,52204.9797,56278
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Queens,Middle Village/Ridgewood,49920,51190.82903,49662.6944,58344.06508,48745.24593,53089.06242,46127.85861,45691.33457,46547.08705,57220.33838,55483.72213,68239.59128,64219.8292,69284
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Manhattan,Morningside Heights/Hamilton Heights,28780,31579.68405,42595.58459,36569.49178,37583.53555,34810.65614,36869.81026,34979.17798,40886.38678,38764.84443,42778.26378,41796.58082,41294.80337,47997
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,Morrisania/Belmont,21380,21028.32515,23886.61413,22032.21936,24330.4488,21587.81006,22828.63944,20245.62928,23874.45355,21751.00521,22660.41287,24630.96291,23837.09456,24931
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,Mott Haven/Hunts Point,14770,20579.48943,22420.37875,20603.56038,20671.11787,21930.9065,22703.81431,18784.19125,23011.44447,20923.44702,23445.97105,26517.81976,20153.15215,22804
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,North Crown Heights/Prospect Heights,31750,38970.59479,33083.14143,39344.40942,40732.15468,39917.33998,39313.28991,40584.42658,35136.18927,41268.54969,42546.16704,45238.84776,48136.84745,50268
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Staten Island,North Shore,27570,35391.06798,40354.02903,35129.22712,33949.62467,32803.20112,32243.5477,34941.26076,37229.78536,25783.64262,28729.58495,29100.81874,29002.7665,33656
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Queens,Ozone Park/Woodhaven,42890,44018.13676,47752.7299,52374.10425,48164.05128,52911.83379,48391.28076,51089.66348,49119.06718,52934.28098,50144.44702,51655.8235,59777.69782,60090
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Park Slope/Carroll Gardens,71540,76984.00403,68245.05736,72179.19397,84350.63985,70725.58296,78444.31302,82658.45828,88181.41502,94156.56312,101293.9464,91023.18002,111460.9131,94427
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,Pelham Parkway,39000,41001.5144,43286.49978,40169.57313,40956.31325,40642.15962,36126.38268,38428.56174,39449.10376,39254.85982,39805.11511,45772.90306,36150.53193,43923
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Queens,Queens Village,65680,58633.81464,63548.52218,66948.51484,60526.28102,50982.76835,58449.0937,52907.52339,51453.45346,51764.97386,65043.79714,56132.95246,62296.84184,65934
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Queens,Rego Park/Forest Hills,54300,56255.72928,61440.80883,60168.47768,59913.88904,51624.65408,61630.47769,57432.67287,53907.16939,59406.48002,58952.57061,64353.66361,67426.84629,71889
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,Riverdale/Kingsbridge,48070,47908.87286,49678.36961,58493.77832,49238.62588,47885.8117,50001.85641,47048.77108,55008.83777,41741.74052,54786.38172,47560.01418,47937.10949,43117
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Queens,Rockaways,38260,37527.3772,35315.05071,39266.65137,35865.37165,29886.88134,31134.48189,37791.55243,31140.77688,27641.70529,39834.52103,32750.8893,40016.88808,45254
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Sheepshead Bay/Gravesend,33480,31295.75207,38981.84493,38911.51762,37235.74313,37947.37562,36327.42847,39356.99198,33926.91112,40346.35334,42566.12106,45564.06042,44608.82293,41997
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,Soundview/Parkchester,33540,37940.25646,35436.83506,39356.01509,34696.04961,36011.4937,30300.47324,30975.11945,29097.25662,31682.75499,31834.01006,34409.16218,35209.92921,34407
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,South Crown Heights,44230,38553.9959,43654.2644,35702.54762,38851.0714,38167.77533,38400.8513,38554.23024,43225.03483,41331.6418,41018.10935,48898.26948,46357.54912,56162
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,South Ozone Park/Howard Beach,51470,50475.41962,51104.81406,58507.70514,54944.27038,39491.30962,44404.60894,46767.10029,45676.61987,42884.75926,56184.21318,45379.1152,55116.46613,55576
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Staten Island,South Shore,52990,45861.83484,43231.03363,68959.77886,65592.95804,49234.33978,56511.54247,56134.82056,53569.42386,47073.02389,56378.5023,48669.6855,49417.81995,56567
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Manhattan,Stuyvesant Town/Turtle Bay,89750,95936.77397,102105.9306,111693.0463,101209.9065,95133.14592,99216.09934,93876.53893,107474.4624,101049.3762,105991.5423,105706.5837,109468.6289,118060
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Queens,Sunnyside/Woodside,48160,50985.00934,60262.75623,60423.8026,61056.63558,54320.57416,51244.58453,49379.05514,59015.97003,56657.76706,58545.08856,63634.66309,62807.39651,69934
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Sunset Park,37240,45318.76842,38800.97708,41808.29488,37328.17965,40200.22413,39882.18322,36889.12257,42641.1719,42240.1682,40661.03745,48593.83718,49207.89128,60276
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,Throgs Neck/Co-op City,38770,50930.45472,54485.83708,53208.55251,41751.26737,47446.14838,41655.14201,42204.03359,40704.19597,47021.49866,38867.27626,44073.06946,46608.24064,41471
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,University Heights/Fordham,22210,24142.89783,27599.22821,30442.85429,27081.59087,28187.30425,27803.97052,22919.33503,24128.02905,21463.9361,24466.7766,26555.22441,28690.93071,29691
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Manhattan,Upper East Side,82160,88896.74861,101136.4789,104981.4826,92285.16005,86476.20914,92848.91277,91898.34334,90628.73829,99583.53619,88882.54728,105196.4258,108009.3189,103707
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Manhattan,Upper West Side,72730,81839.36496,83585.06266,90416.35658,97833.66246,71201.60087,83640.57354,78289.31108,86971.07143,82903.03362,84935.85257,90595.10456,105374.0008,99043
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Manhattan,Washington Heights/Inwood,37770,37844.78588,38939.64243,40393.56272,40319.65669,43444.8713,39594.97495,36643.20231,36322.02766,44469.42278,43463.00165,52444.43823,52770.56421,50047
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Bronx,Williamsbridge/Baychester,38980,44493.0099,44234.24731,42917.79771,37828.49234,37522.48135,35317.78091,37922.63767,37775.29233,34900.45264,35655.72959,39075.39243,42640.99644,33047
hh_inc_rent_med_adj,"Median household income, renters (2018$)",Brooklyn,Williamsburg/Greenpoint,33340,35627.88462,46638.58394,43043.13904,42325.52928,42131.56173,50537.61031,47648.94652,52529.5512,55025.78446,65359.91079,63657.52149,77201.77729,73233
