rent_burden_med,Median rent burden,Bronx,Morrisania/Belmont,0.291958763,0.354,0.366,0.339,0.349,0.371,0.354,0.377,0.392,0.344,0.372,0.358,0.356,0.348,0.374
rent_burden_med,Median rent burden,Bronx,Mott Haven/Hunts Point,0.278571429,0.349,0.328,0.325,0.333,0.326,0.343,0.346,0.377,0.333,0.349,0.333,0.348,0.38,0.379
rent_burden_med,Median rent burden,Brooklyn,North Crown Heights/Prospect Heights,0.26,0.341,0.304,0.324,0.333,0.292,0.321,0.327,0.307,0.335,0.319,0.312,0.317,0.303,0.304
rent_burden_med,Median rent burden,Staten Island,North Shore,0.247328244,0.372,0.303,0.315,0.335,0.357,0.362,0.324,0.352,0.322,0.367,0.344,0.365,0.366,0.323
rent_burden_med,Median rent burden,Queens,Ozone Park/Woodhaven,0.271952663,0.333,0.368,0.318,0.335,0.323,0.319,0.349,0.344,0.317,0.337,0.354,0.351,0.308,0.337
rent_burden_med,Median rent burden,Brooklyn,Park Slope/Carroll Gardens,0.236966825,0.272,0.244,0.261,0.272,0.255,0.279,0.264,0.262,0.252,0.242,0.249,0.248,0.235,0.259
rent_burden_med,Median rent burden,Bronx,Pelham Parkway,0.264782609,0.305,0.284,0.301,0.303,0.29,0.315,0.356,0.344,0.32,0.332,0.357,0.326,0.376,0.321
rent_burden_med,Median rent burden,Queens,Queens Village,0.233419355,0.282,0.298,0.271,0.282,0.29,0.353,0.325,0.325,0.313,0.335,0.296,0.316,0.29,0.288
rent_burden_med,Median rent burden,Queens,Rego Park/Forest Hills,0.247773279,0.322,0.289,0.297,0.277,0.299,0.362,0.288,0.319,0.332,0.317,0.31,0.324,0.296,0.293
rent_burden_med,Median rent burden,Bronx,Riverdale/Kingsbridge,0.237804878,0.282,0.289,0.277,0.262,0.278,0.303,0.315,0.319,0.299,0.335,0.295,0.349,0.34,0.353
rent_burden_med,Median rent burden,Queens,Rockaways,0.253584906,0.287,0.297,0.315,0.29,0.302,0.325,0.303,0.313,0.349,0.333,0.315,0.328,0.298,0.276
